record,uuid,date,markers,vboost,hboost,hQC_FINAL,S1,S2,hAGE,hGender,S3r1,S3r2,S3r3,S3r4,S3r5,S3r6,S3r7,S3r8,S3r9,S4r1,S4r2,S4r3,S4r4,S4r5,S4r6,S5,S6r1,S6r2,S6r3,S6r4,S6r5,S6r6,S6r7,S6r8,S6r9,S6r99,S6r100,S6a,S6b,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r11,S7r12,S7r13,S7r14,S7r15,S7r16,S7r99,S7r100,S7a,S8a,hMVPD,h_vMVPD,h_SVOD,S8b,PRIMARY_TV,S9,S10B,hSports,Q1,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Q3r8,Q3r9,Q3r10,Q3r11,Q3r12,Q3r13,Q3r14,Q3r15,Q3r16,Q3r17,Q3r18,Q3r19,Q3r20,Q3r21,Q3r22,Q3r23,Q3r24,Q3r25,Q3r26,Q3r27,Q3r28,Q3r29,Q3r30,Q3r31,Q3r32,Q3r33,Q3r34,Q3r35,Q3r36,Q3r37,Q3r38,Q3r39,Q3r40,Q3r41,Q3r42,Q3r43,Q3r44,Q3r45,Q3r46,Q3r47,Q3r48,Q3r49,Q3r50,Q3r51,Q3r52,Q3r53,Q3r54,Q3r55,Q3r56,Q3r57,Q3r58,Q3r59,Q3r60,Q3r61,Q3r62,Q3r63,Q3r64,Q3r65,Q3r66,Q3r67,Q3r68,Q3r69,Q3r70,Q3r71,Q3r99,QC_FLAG_1,Q4,Q5r1,Q5r2,Q5r3,Q5r4,Q5r5,Q5r6,QC_FLAG_2,Q6,Q7,MD_Version,MD_1best,MD_1worst,MD_2best,MD_2worst,MD_3best,MD_3worst,MD_4best,MD_4worst,MD_5best,MD_5worst,MD_6best,MD_6worst,MD_7best,MD_7worst,MD_8best,MD_8worst,MD_9best,MD_9worst,MD_10best,MD_10worst,MD_11best,MD_11worst,MD_12best,MD_12worst,MD_13best,MD_13worst,MD_14best,MD_14worst,MD_15best,MD_15worst,MD_16best,MD_16worst,MD_17best,MD_17worst,MD_18best,MD_18worst,MD_19best,MD_19worst,MD_20best,MD_20worst,MD_Timer,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,Q8r6,Q8r7,Q8r8,Q10r1,Q10r2,Q12,S10r1,S10r2,S10r3,S10r4,S10r5,S10r6,S10r7,S10r8,S10r9,S10r10,S10r11,S10r12,S10r13,S10r14,S10r15,S10r16,S10r17,S10r18,S10r19,S10r20,S10r21,S10r22,S10r23,S10r24,S10r99,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13r12,Q13r13,Q13r99,Q13r100,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,Q14r11,Q14r12,Q14r13,Q14r99,Q14r100,Q15r1,Q15r2,Q15r3,Q15r4,Q15r5,Q15r6,Q15r7,Q15r8,Q15r9,Q15r10,Q15r11,Q15r12,Q15r13,Q15r14,Q15r15,Q15r99,Q16,Q17,Q18r1,Q18r2,Q18r3,Q18r4,Q18r5,QC_FLAG_3,Q19r1,Q19r2,Q20,Q22,Q23,Q24,Q26,vlist,qtime,vos,vbrowser,vmobiledevice,vmobileos,start_date,vdropout,cov_TV_usage,smart_TV,MD_Cluster_3,MD_Cluster_4,MD_Cluster_5
5182,5tw71s4wypze080w,08-Sep-23,"qualified,/gen_pop_dtv/DTV_SAT_USERS,ver_86,/overall/qual,/gen_p",1,0,0,58,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,104,1,2,1,2,6,1,1,2,2,8,8,8,7,7,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,1,8,8,8,8,8,8,4,1,8,6,86,63,45,33,3,25,53,21,39,68,6,64,49,60,16,17,35,26,52,54,9,71,47,31,1,56,51,29,20,14,46,43,39,69,36,12,24,57,15,18,35,10.11, ,1,5, , ,3,2,4,0,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0, ,0,0, ,1, , ,0,0,0, ,0, , ,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0, ,1,6,6,1,6,3,2,6,2,2,1,1,2,1,1,1529.93,14,10,1,2,08-Sep-23, ,1,0,3,1,2
5183,qc99ez9fn2sauajd,08-Sep-23,"qualified,/MD_Maxdiff/ver_195,/boost1/H_MVDP_USERS,/overall/qual",2,1,0,31,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, ,0,1,0,1,1,0,0,1,0,0,0, , ,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,80, ,1,2,2,16,3,1,2,2,7,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,10,10,10,10,10,10,4,1,10,10,195,13,34,28,37,1,66,54,4,56,68,9,19,46,10,43,59,36,69,7,62,53,29,55,6,12,39,57,71,11,18,61,50,32,43,65,60,3,13,52,37,3.7,4,1, ,5,3, , ,2,0,1,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1, ,0, , ,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,4,4,5,6,5,5,3,2,6,1,1,4,2,2,1,1,839.05,14,10,1,2,08-Sep-23, ,3,1, , , 
5186,0gsxcn1mg83945r3,08-Sep-23,"qualified,ver_40,/MD_Maxdiff/ver_40,/overall/qual,/gen_pop_h_vmv",1,0,1,41,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0, ,0,1,0,1,0,0,0,1,0,0,0, , ,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,20, ,1,2,2,19,3,1,4,2,10,8,9,9,8,8,7,4,4,4,4,4,5,5,4,5,4,4,4,4,5,4,4,5,5,4,4,5,4,3,4,5,4,5,5,4,4,5,4,5,4,4,4,5,5,4,3,5,4,4,5,4,5,4,5,5,4,4,4,5,5,5,5,5,4,5,4,4,4,4,5,4,5,4,5,5,4,5,4,0,9,9,9,9,10,10,4,1,10,5,40,24,17,67,3,41,31,66,50,68,15,8,16,4,13,62,39,61,48,53,2,49,1,17,70,15,57,37,19,10,44,46,11,45,63,30,23,58,29,61,24,0.97,2, , ,5,3,1, ,4,0,1,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1, ,0,0,0, , ,1, ,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,3,3,6,2,1,2,3,2,6,2,1,1,1,2,2,1,341.9,14,10,1,2,08-Sep-23, ,3,1,1,2,4
5187,ege4xdpv47r7k80q,08-Sep-23,"qualified,/boost1/H_MVDP_USERS,/boost1/genAGE_6,ver_130,/overall",2,1,0,62,2,3,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,130, ,1,2,2,19,2,1,1,1,7,5,7,7,7,5,5,2,2,2,2,2,2,3,2,2,2,3,2,2,4,2,2,2,3,2,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,7,5,7,5,7,7,4,1,7,5,130,30,64,54,3,28,50,56,59,29,52,26,45,17,9,11,65,7,68,21,47,49,63,33,6,13,43,57,53,19,31,66,62,34,16,25,11,61,42,33,8,3.1,3,4,1,2, ,5, , ,0,1,6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , , , , , ,1, , , , , , ,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,4,2,6,1,1,1,3,2,6,1,2,2,2,2,1,1,679.68,4,10,5,6,08-Sep-23, ,3,1, , , 
5188,1zb7fw7dspfnwa66,08-Sep-23,"qualified,/gen_pop_svod/SVOD_ONLY_USERS,/overall/qual,/MD_Maxdif",1,0,0,25,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,10, ,1,1,2, , ,1,2,2, , , , , , , ,2,1,4,3,4,5,5,3,4,5,5,4,4,5,1,5,5,5,4,5,5,4,4,1,5,5,4,3,3,5,4,4,3,4,5,5,5,4,2,4,4,5,5,3,1,4,4,5,5,3,1,5,3,5,5,5,5,4,5,5,4,5,5,5,4,1,4,1,4,4,5,2,1, , , , , , , , , ,7,17,24,30,35,4,12,67,51,60,18,71,56,55,26,20,21,27,39,37,49,23,61,69,46,17,54,63,68,44,37,53,16,43,42,64,60,40,66,14,31,2,12.07,5,3, ,1, ,4,2, ,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0, ,0, , , , ,0,1,1, , ,0, , ,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,6,2,6,3,2,2,3,2,6,1,2,4,1,2,6,1,2190.01,14,10,1,2,08-Sep-23, ,4,1,1,2,4
5197,vmdzx2spcx10dsjp,08-Sep-23,"qualified,/MD_Maxdiff/ver_186,/boost1/H_MVDP_USERS,/boost1/genAG",2,1,1,52,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,85, ,1,2,2,19,2,1,4,2,10,8,8,8,8,9,9,3,3,3,2,3,2,2,3,2,3,4,4,3,4,3,3,3,3,3,4,3,3,3,2,3,3,3,4,4,3,3,3,4,4,3,4,3,2,3,3,3,3,4,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,2,1,7,6,7,7,6,5,7,0,7,5,186,15,64,59,24,17,44,61,47,42,18,69,10,31,35,36,13,52,4,63,51,66,37,14,26,40,48,34,21,54,56,12,9,53,39,1,60,30,8,14,63,7.5, ,2, ,1, ,4,3,5,0,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0, , , , ,0, ,0,0,0, , , , , ,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,2,4,4,2,3,1,3,2,6,1,2,1,2,2,2,1,1391.68,12,11,1,1,08-Sep-23, ,3,1, , , 
5200,3rtmdjg89hju2mtw,08-Sep-23,"qualified,/gen_pop_svod/SVOD_ONLY_USERS,/MD_Maxdiff/ver_176,/ove",1,0,0,39,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,16, ,1,1,2, , ,1,1,1, , , , , , , ,4,3,3,3,3,3,4,4,4,3,4,3,3,5,4,4,5,4,3,3,4,5,4,3,5,4,3,5,4,4,4,3,5,4,5,5,4,3,4,4,4,4,4,4,3,4,3,4,4,3,3,5,4,5,5,3,5,4,4,3,3,4,4,5,4,4,3,4,3,4,4,2,1, , , , , , , , , ,8,176,33,50,43,3,67,2,26,6,22,61,29,36,42,45,14,60,17,5,70,20,23,38,64,40,25,24,1,15,34,4,41,51,11,27,28,53,33,60,55,1,10.97,3,1,5,2, , , ,4,1,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0, , , ,0,1, ,0,0, , ,0, , ,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,4,3,5,6,6,1,3,2,6,5,2,3,1,1,6,1,1705.61,13,11,5,6,08-Sep-23, ,4,1,3,1,2
5203,bhg0pg4h11aw1n46,08-Sep-23,"qualified,/overall/qual,/overall/genPop,/gen_pop_samp/genAGE_3,v",1,0,0,85,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,1,2,5,1,2,2,2,1,5,5,5,5,5,5,2,4,1,2,2,2,2,2,2,1,2,3,1,4,2,2,2,1,2,2,3,2,2,1,2,2,2,3,3,3,2,2,3,3,1,3,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,3,1,4,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,5,5,5,5,5,5,4,1,5,5,25,65,25,3,32,34,4,51,27,9,35,43,6,36,46,50,47,22,71,31,39,21,24,14,63,54,33,40,18,48,59,17,62,28,58,31,69,61,6,14,25,4.19,5,1,4,3, , , ,2,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0, , , , ,0, , ,0,0, , , ,0, ,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,3,6,1,1,5,3,2,6,1,2,1,2,2,3,1,1122.15,4,12,5,6,08-Sep-23, ,2,1,3,3,3
5205,ucjx7vts3u1hm4eu,08-Sep-23,"qualified,/MD_Maxdiff/ver_143,/overall/qual,/gen_pop_samp/genAGE",1,0,0,70,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,99,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98, ,2,1,1,11,1,1,1,1,4,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,6,5,6,5,4,1,5,5,143,52,2,36,50,70,9,54,62,40,5,71,66,34,42,18,25,14,10,43,65,19,21,53,16,57,13,29,7,15,45,18,60,50,11,71,47,12,8,20,51,5.25, ,3, ,4, ,1,5,2,0,1,7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0, ,2,6,1,1,1,3,2,6,1,4,2,2,2,3,1,997.87,4,10,5,6,08-Sep-23, ,4,0,2,4,5
5209,ra3082kyjg1mhzme,08-Sep-23,"qualified,/MD_Maxdiff/ver_29,/gen_pop_svod/SVOD_ONLY_USERS,/over",1,0,0,58,2,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,21, ,1,1,2, , ,1,1,1, , , , , , , ,4,4,2,2,4,2,4,4,1,3,2,2,4,3,4,4,2,3,3,3,3,2,4,2,3,4,4,4,2,4,3,4,4,5,1,2,4,2,4,4,3,3,4,2,4,4,3,4,1,4,2,3,2,5,2,3,2,3,2,4,1,2,2,4,4,1,2,3,3,2,4,2,1, , , , , , , , , ,7,29,68,45,32,22,4,53,19,3,39,47,28,66,31,49,42,34,54,11,40,27,30,9,33,26,18,24,65,64,15,21,52,36,37,25,8,59,18,51,41,62,19.25, ,1,5,3, , ,4,2,0,1,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , , , , ,0, , , , , , , ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,3,6,2,4,1,3,2,6,2,1,2,2,2,1,1,2378.59,13,11,5,6,08-Sep-23, ,4,1,3,3,3
5211,z3wazkm71c7bg41d,08-Sep-23,"qualified,ver_67,/gen_pop_svod/SVOD_ONLY_USERS,/overall/qual,/MD",1,0,0,49,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25, ,1,1,2, , ,1,1,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,4,1,3,1,1,1,1,1,3,1,1,2,4,5,3,5,1,3,3,4,4,3,1,1,1,1,1,1,1,1,3,1,3,2,3,2,5,3,1,2,2,1,1,5,1,3,1,1,1,1,1,2,4,3,2,1, , , , , , , , , ,5,67,34,68,12,42,33,41,11,9,15,23,18,65,56,16,55,71,63,41,57,24,12,8,33,2,38,6,48,60,53,5,61,29,26,4,22,67,34,62,54,40,6.29,2,1, , , ,3,4,5,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,4,2,5,3,1,2,3,2,5,3,2,3,2,1,1,1,1192.98,14,10,1,2,08-Sep-23, ,4,1,2,4,5
5212,x02yv3a6bknjyg6f,08-Sep-23,"qualified,/gen_pop_svod/SVOD_ONLY_USERS,/overall/qual,/gen_pop_s",1,0,1,34,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15, ,1,1,2, , ,2,2,2, , , , , , , ,3,3,4,1,4,2,5,2,3,3,3,3,4,4,2,4,4,3,3,4,4,3,3,3,2,2,2,2,3,2,1,4,2,4,2,2,3,4,1,4,3,3,3,4,4,2,1,2,4,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,5,3,4,4,3,3,4,0, , , , , , , , , ,5,24,2,19,38,49,17,47,31,46,34,52,63,27,69,1,32,50,25,28,54,30,5,46,57,48,43,37,71,1,51,7,14,11,62,42,58,33,18,56,21,6,3.41, ,2,1, , ,5,4,3,0,1,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0, , , , ,0, , ,1,0, , ,0, , ,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0, ,3,5,1,4,1,3,2,3,1,2,4,3,2,2,1,483.31,12,11,3,6,08-Sep-23, ,4,0,3,2,2
5213,ksy2z9s6cqhqt7kk,08-Sep-23,"qualified,/overall/qual,/MD_Maxdiff/ver_57,ver_57,/gen_pop_samp/",1,0,1,41,2,2,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, ,2,1,1,7,1,1,1,1,7,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,3,5,1,3,1,3,3,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,0,7,6,5,5,6,6,4,1,5,5,57,9,18,30,45,48,67,68,40,29,44,5,35,39,3,64,46,6,47,70,32,31,60,71,38,34,10,58,15,57,37,29,12,55,49,17,25,54,62,39,22,4.82,1,5,3, , ,2, ,4,1,0,7,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0, ,3,6,1,1,1,3,2,6,1,3,1,1,1,1,1,1200.44,14,10,1,2,08-Sep-23, ,2,0,3,1,2
5214,fwdm2uav3zt9rtyq,08-Sep-23,"qualified,/gen_pop_dtv/DTV_SAT_USERS,/overall/qual,/MD_Maxdiff/v",1,0,0,58,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,1,2,1,1,6,1,2,1,1,1,7,8,8,9,8,7,1,1,1,1,1,1,2,1,3,2,2,4,3,4,1,1,3,3,3,3,3,2,3,1,2,2,2,1,3,2,3,3,4,3,2,4,3,3,4,2,1,1,1,3,2,2,1,2,3,4,3,2,3,3,1,2,3,3,3,1,1,3,1,1,1,3,1,1,3,1,3,2,1,5,5,7,5,4,5,4,1,5,5,12,58,20,53,8,46,22,10,17,14,3,25,5,59,64,33,65,28,16,43,55,30,3,39,61,29,42,71,47,62,44,40,41,34,51,14,9,32,48,31,2,38.97,5,3,2, , , ,4,1,1,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , , , , , ,0, , , , , , ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0, ,2,6,1,1,1,3,2,6,1,4,1,2,2,1,1,3413.62,14,10,1,2,08-Sep-23, ,1,0,3,1,1
5216,nmgdtxhx4us8fya9,08-Sep-23,"qualified,/overall/qual,/MD_Maxdiff/ver_22,ver_22,/gen_pop_h_vmv",1,0,0,36,2,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0, , ,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,52, ,2,2,2,2,3,1,1,1,5,0,3,0,0,0,0,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,1,5,5,1,5,2,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,5,2,1,10,10,10,10,10,10,4,1,10,5,22,12,51,70,39,22,1,19,67,52,63,50,69,49,24,20,65,71,41,48,10,11,40,31,6,61,3,29,9,53,2,59,45,26,37,28,60,22,47,29,27,14.09,3, ,4,2,1, , ,5,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0, ,0, , ,0, , ,0,0, , ,0, , ,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,4,6,6,1,5,3,2,6,6,4,3,2,1,1,1,2291.59,14,10,1,2,08-Sep-23, ,2,1,2,4,5
5217,ku54kzb3amnycq3a,08-Sep-23,"qualified,/overall/qual,/MD_Maxdiff/ver_38,/gen_pop_samp/genAGE_",1,0,0,71,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, ,1,1,1, , ,1,1,1, , , , , , , ,1,1,2,2,1,1,2,1,2,2,2,1,2,3,2,1,2,2,3,3,3,4,2,1,4,2,1,4,3,3,3,3,3,3,2,2,3,2,1,1,1,2,1,2,1,1,2,2,3,2,2,3,2,3,2,2,3,2,1,2,2,1,2,2,1,2,1,2,2,3,3,2,1, , , , , , , , , ,5,38,29,42,57,66,30,40,52,67,70,21,34,62,36,65,22,24,58,47,71,3,54,56,55,59,18,45,63,50,25,41,20,15,33,67,11,66,30,65,22,45,4.77,5, ,1,2, ,4, ,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1, , , ,0,0, , , , , , , , ,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,2,5,1,1,1,3,2,5,1,3,2,2,2,3,1,900.41,13,11,5,6,08-Sep-23, ,4,1,2,4,5
5221,esa85jj0ru5zxv12,08-Sep-23,"qualified,/gen_pop_svod/SVOD_ONLY_USERS,/overall/qual,ver_125,/M",1,0,0,72,2,3,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135, ,1,1,2, , ,1,1,1, , , , , , , ,4,4,1,4,1,3,3,3,3,4,4,1,3,4,1,4,1,3,1,3,3,3,3,1,4,3,4,1,4,3,4,3,3,3,1,4,2,4,1,3,4,3,1,4,1,4,1,3,3,4,4,1,1,4,4,4,3,4,3,3,4,4,4,1,3,4,3,1,4,4,3,2,1, , , , , , , , , ,7,125,43,35,30,15,41,64,26,52,4,48,18,50,62,35,59,24,11,53,9,33,61,20,8,6,71,67,34,17,36,51,32,12,16,24,2,45,50,56,7,69,8.88,1,2,4,5, , ,3, ,1,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , , , , , ,0, , , , , , ,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0, ,1,5,1,6,1,3,2,6,1,2,4,2,2,3,1,1414.96,13,11,5,6,08-Sep-23, ,4,0,1,3,3
5223,b0w2evf5rd0myekc,08-Sep-23,"qualified,ver_102,/MD_Maxdiff/ver_102,/overall/qual,/gen_pop_sam",1,0,1,46,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25, ,1,1,1, , ,1,3,2, , , , , , , ,5,1,1,2,5,2,3,3,1,2,1,5,2,4,2,4,3,2,4,2,5,1,5,2,3,1,3,5,5,4,4,2,1,3,4,1,3,1,2,1,5,5,2,2,4,5,3,4,4,5,5,1,3,5,2,4,1,3,1,1,4,3,2,1,2,2,1,5,1,1,2,4,0, , , , , , , , , ,6,102,26,18,46,2,69,60,57,64,62,17,45,6,20,23,31,3,40,29,25,56,53,63,15,52,61,8,37,71,30,28,1,29,67,46,38,55,57,61,65,5,2.14,1,3,2,5, ,4, , ,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,5,5,6,4,6,3,2,2,1,1,5,2,2,6,1,443.2,12,10,1,1,08-Sep-23, ,4,0,1,2,4
